Vardas    Pavarde       ND1  ND2  ND3  ND4  ND5  Egzaminas
Rokas     Pavardenis1   8    9    10   6    8    7
Martynas  Pavardenis2   6    8    5    10   9    8
Saule     Pavardaite1   9    7    8    10   6    7
Emilija   Pavardaite2   7    5    4    9    7    8
Vilius    Pavardenis3   8    7    7    9    10   6
Rapolas   Pavardenis4   8    10   9    5    4    6
Dovile    Pavardaite3   7    2    4    8    3    9
Jogile    Pavardaite4   4    8    5    7    1    9
Aurimas   Pavardenis5   6    8    7    10   4    10
Laura     Pavardaite5   7    9    3    8    6    2
